,identity,source_x,source_y,source_w,source_h,VGG-Face_cosine
0,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Narendra_Modi/NM2.jpg,83,27,63,85,0.0
1,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Narendra_Modi/NM5.jpg,83,27,63,85,0.06717641857813406
2,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Narendra_Modi/NM4.jpg,83,27,63,85,0.08902687021259914
3,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Narendra_Modi/NM1.jpg,83,27,63,85,0.0893548487742094
4,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Narendra_Modi/NM3.jpg,83,27,63,85,0.10479805224549454
5,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Xi_Jinping/ping4.jpg,83,27,63,85,0.37704867995989333
6,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Xi_Jinping/ping5.jpg,83,27,63,85,0.37713974490487867
7,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Xi_Jinping/ping3.jpg,83,27,63,85,0.37881028742247713
8,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Vladimir_Putin/putin6.jpg,83,27,63,85,0.3896837787247731
9,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Vladimir_Putin/putin1.jpg,83,27,63,85,0.3939970202224242
10,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Xi_Jinping/ping6.jpg,83,27,63,85,0.3942023579904905
11,C:\Users\manid\Desktop\Automatic Attendance System\Face_Detect\Database\Vladimir_Putin/putin5.jpg,83,27,63,85,0.3952493451975184
